Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
jnHbdsqlTKlPcmJ8BCP9-g,2022-10-10 21:00:34.323936,Via Carota,italian,4,789,51 Grove St,10014,40.733148231901204,-74.00366777251583
XfOa_KyrV7JSFJMOKckGMg,2022-10-10 21:00:34.323950,Monte's Trattoria,italian,4,406,97 Macdougal St,10012,40.72959,-74.0011
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
I07F7efWXUTSpi3WgITeFQ,2022-10-10 21:00:35.200085,Beppe Trattoria,italian,5,19,234 W 56th St,10019,40.76561,-73.98259
Z-QmxQZAJEy5GXqA82Bemw,2022-10-10 21:00:35.200210,Da Toscano,italian,4.5,79,24 Minetta Ln,10012,40.730508,-74.001238
9K0run3oObR0YT4jaOEvWg,2022-10-10 21:00:35.200236,L'Angeletto,italian,4.5,75,327 2nd Ave,10003,40.73541417,-73.982956
sRH-6ZY0gDbS4DhfUZU6zw,2022-10-10 21:00:35.200257,Soda Club,italian,4.5,43,155 Avenue B,10009,40.726654,-73.979875
FebvtuoXRQ8h8CZMe8NeYw,2022-10-10 21:00:35.200276,B'artusi,italian,4.5,22,520 Hudson St,10014,40.73401,-74.00607
b2z0IifTb3zeuEbZ5fx7YQ,2022-10-10 21:00:35.200294,Spaghetti Tavern,italian,4.5,68,425 Amsterdam Ave,10024,40.783999644919156,-73.97748999443762
3FJjOq78eeqakDCsJHqJug,2022-10-10 21:00:35.200316,Sotto La Luna,italian,4.5,53,34-39 31st St,11106,40.75821891908545,-73.92818819919232
7Tu5l9UfWVi_v3m4TwJAxQ,2022-10-10 21:00:35.200337,Caffe dei Fiori,italian,4.5,84,973 Lexington Ave,10021,40.76935,-73.9627
syNFp2qrQtXfH4bskQVgaA,2022-10-10 21:00:35.200355,Portale,italian,4.5,129,126 W 18th St,10011,40.74023348892918,-73.9962661
z8TIY5xLeQptbXxZp3LpsA,2022-10-10 21:00:35.200374,Felice 56,italian,4.5,71,15 W 56th St,10019,40.762862,-73.975396
zo4JHfD2nWPUiqgsgDOaHQ,2022-10-10 21:00:35.200392,Rao's,italian,4.5,202,455 E 114th St,10029,40.79392,-73.93427
NlmP5x_Ykznd55Dc85ChUg,2022-10-10 21:00:35.200410,Nittis,italian,4.5,280,523 9th Ave,10018,40.7567,-73.99411
kr5fRwdHtVwPPwSJxm9Fkg,2022-10-10 21:00:35.200444,Il Posto Accanto,italian,4,293,190 E 2nd St,10009,40.72238,-73.98403
ZmxEeE9m0CdpvM3wVRvonQ,2022-10-10 21:00:35.200462,Sicily Osteria,italian,4,47,330 W 46th St,10036,40.76019,-73.98918
YFvF4r2D-wJOgJAOvanaZQ,2022-10-10 21:00:35.200486,Gnoccheria By Luzzo's,italian,4,496,234 E 4th St,10009,40.723315,-73.983139
wzHyRI6iW0rIY8rMb3KClA,2022-10-10 21:00:35.200504,Felice,italian,4,87,240 Columbus Ave,10023,40.77697,-73.97933
d15lwNLOlLSeaAYqPadntw,2022-10-10 21:00:35.200522,Sam's Place,italian,4,279,132 E 39th St,10016,40.749270880468,-73.977082744053
oUVX94JtKyLPXozC2hemCg,2022-10-10 21:00:35.200541,Manetta's Ristorante,italian,4,434,1076 Jackson Ave,11101,40.7427,-73.95184
J0OeDwmh5JBhid0A5GvltA,2022-10-10 21:00:35.200560,Il Corallo Trattoria,italian,4,1103,176 Prince St,10012,40.7262073,-74.0018919
jku9Fg8JsUbv_LQzg6PK4g,2022-10-10 21:00:35.200578,Lavagna,italian,4,418,545 E 5th St,10009,40.72406,-73.98226
6Z5OWpaeGGazJHR4LfThsw,2022-10-10 21:00:35.200605,Palma,italian,4,805,28 Cornelia St,10014,40.73115,-74.00233
